#num	address	status	hash160	torus_pos	fraction	hot_bin	priority_zone
114	174SNxfqpdMGYy5YQcfLbSTK3MRNZEePoy	unsolved	42773005f9594cd16b10985d428418acb7f352ec	260172	0.509632	-	-
115	1NLbHuJebVwUZ1XqDjsAyfTRUPwDQbemfv	solved	ea0f2b7576bd098921fce9bfebe37f6383e639a4	236676	0.463607	-	-
116	1MnJ6hdhvK37VLmqcdEwqC3iFxyWH2PHUV	unsolved	e3f381c34a20da049779b44cae0417c7fb2898d0	462976	0.906889	-	-
117	1KNRfGWw7Q9Rmwsc6NT5zsdvEb9M2Wkj5Z	unsolved	c97f9591e28687be1c4d972e25be7c372a3221b4	400120	0.783765	-	-
118	1PJZPzvGX19a7twf5HyD2VvNiPdHLzm9F6	unsolved	f4a4e1c11a5bbbd2fc139d221825407c66e0b8b4	54506	0.106768	-	-
119	1GuBBhf61rnvRe4K8zu8vdQB3kHzwFqSy7	unsolved	ae6804b35c82f47f8b0a42d8c5e514fe5ef0a883	345793	0.677348	-	-
120	17s2b9ksz5y7abUm92cHwG8jEPCzK3dLnT	solved	4b46e10a541aeec6be3fac709c256fb7da69308e	217938	0.426903	-	-
121	1GDSuiThEV64c166LUFC9uDcVdGjqkxKyh	unsolved	a6e4818537e42f7b3f021daa810367dad4dda16f	204491	0.400562	-	-
122	1Me3ASYt5JCTAK2XaC32RMeH34PdprrfDx	unsolved	e263b62ea294b9650615a13b926e75944c823990	355754	0.696860	-	-
123	1CdufMQL892A69KXgv6UNBD17ywWqYpKut	unsolved	7fa4515066ba6905f894b2078f9af7b1379169cf	212019	0.415308	-	-
124	1BkkGsX9ZM6iwL3zbqs7HWBV7SvosR6m8N	unsolved	75f74467ce7214f1767406d5ed12012aa523c48e	155660	0.304911	-	-
125	1PXAyUB8ZoH3WD8n5zoAthYjN15yN5CVq5	solved	f7079256aa027dc437cbb539f955472416725fc8	76552	0.149952	-	-
126	1AWCLZAjKbV1P7AHvaPNCKiB7ZWVDMxFiz	unsolved	683ea8a1ef06eada90556017d44323b5c04e00f1	302171	0.591900	11	P2 v19+κ
127	1G6EFyBRU86sThN3SSt3GrHu1sA7w7nzi4	unsolved	a58708aa98ad35c889bb36d8049bf9e9cacfd02a	261520	0.512272	-	-
128	1MZ2L1gFrCtkkn6DnTT2e4PFUTHw9gNwaj	unsolved	e170ef514689d7230da362a0c121a07723550512	336246	0.658647	-	-
129	1Hz3uv3nNZzBVMXLGadCucgjiCs5W9vaGz	unsolved	ba4c2748360a6b66263e11d1dc8658463ca5ff18	144788	0.283614	-	-
130	1Fo65aKq8s8iquMt6weF1rku1moWVEd5Ua	solved-pubkey	a24922852051a9002ebf4c864a55acb75bb4cf75	478835	0.937954	-	-
131	16zRPnT8znwq42q7XeMkZUhb1bKqgRogiy	unsolved	41b4b36a6c036568972380177eca2916cacd71de	243546	0.477064	-	-
132	1KrU4dHE5WrW8rhWDsTRjR21r8t3dsrS3R	unsolved	cecd3ca4319651bd3afd1e23ab66e111ed38d16d	267551	0.524086	-	-
133	17uDfp5r4n441xkgLFmhNoSW1KWp6xVLD	unsolved	014e15e4ea6da460cc7835e262676baa37988e4f	330625	0.647637	-	-
134	13A3JrvXmvg5w9XGvyyR4JEJqiLz8ZySY3	unsolved	17a5ebfaf62e73f149e33ba674836801f13a80b9	340175	0.666343	-	-
135	16RGFo6hjq9ym6Pj7N5H7L1NR1rVPJyw2v	unsolved-pubkey	3b6f58a75a54bfd85d1bc6c51180fdc732992326	95724	0.187507	-	-
136	1UDHPdovvR985NrWSkdWQDEQ1xuRiTALq	unsolved	05257be4b57ee43fc09762d5d3a9ad4a6e1a0364	348546	0.682741	-	-
137	15nf31J46iLuK1ZkTnqHo7WgN5cARFK3RA	unsolved	3482f8986e13c018692053a784481c63a3554c9c	313990	0.615052	-	-
138	1Ab4vzG6wEQBDNQM1B2bvUz4fqXXdFk2WT	unsolved	692a8e583866fc9056f5c61a45969fb9d868a08c	380834	0.745987	-	-
139	1Fz63c775VV9fNyj25d9Xfw3YHE6sKCxbt	unsolved	a45dae9cd5d3fde21e5aa9a95367d107267b3b8a	278108	0.544765	-	-
140	1QKBaU6WAeycb3DbKbLBkX7vJiaS8r42Xo	unsolved-pubkey	ffbb35a7bb9bbe16c1aa2534f7ff11d59c8e3d1a	158590	0.310650	-	-
141	1CD91Vm97mLQvXhrnoMChhJx4TP9MaQkJo	unsolved	7af50f73fd580f1713af3a6f9c5de49643ec6fc6	251358	0.492366	-	-
142	15MnK2jXPqTMURX4xC3h4mAZxyCcaWWEDD	unsolved	2fcea55e6d027a2ba7c7ebe95eedf47766730fe2	438314	0.858581	17	-
143	13N66gCzWWHEZBxhVxG18P8wyjEWF9Yoi1	unsolved	19ed3e03d19ddcedd5fa86543be820b3a7951650	392136	0.768126	-	-
144	1NevxKDYuDcCh1ZMMi6ftmWwGrZKC6j7Ux	unsolved	ed87120066e244ff5331d5f8625873d7a3acc39c	93616	0.183377	-	-
145	19GpszRNUej5yYqxXoLnbZWKew3KdVLkXg	unsolved-pubkey	5abf369388deb8072741b4eb43ef10fa9388a729	495273	0.970153	19	-
146	1M7ipcdYHey2Y5RZM34MBbpugghmjaV89P	unsolved	dca7ebfb78ce21884300f133d89244bc4b1b756f	449945	0.881364	17	-
147	18aNhurEAJsw6BAgtANpexk5ob1aGTwSeL	unsolved	5318b9d7fcc93873f768725eb68ba2c924bb07ee	330772	0.647925	-	-
148	1FwZXt6EpRT7Fkndzv6K4b4DFoT4trbMrV	unsolved	a3e3612e586fd206efb8eee6ccd58318e182829a	17840	0.034945	0	-
